"","x"
"1","roll in peace 12%"
"2","bank account 10%"
"3","believer 10%"
"4","bodak yellow 10%"
"5","dusk till dawn 10%"
"6","gucci gang 10%"
"7","i get the bag 10%"
"8","look what you made me do 10%"
"9","mi gente 10%"
"10","new rules 10%"
