"","word","freq","word","freq","word","freq"
"114","bazzi",2,"tee grizzley",4,"keith urban",4
"115","bobhelms",2,"andy williams",3,"lil skies",4
"116","cheat codes",2,"anitta",3,"machine gun kelly",4
"117","lil peep",2,"brett young",3,"mariah carey",4
"118","metro boomin",2,"christina perri",3,"midland",4
"119","perry como",2,"clean bandit",3,"quality control",4
"120","skrillex",2,"cnco",3,"quavo",4
"121","trippie redd",2,"danielle bregoli",3,"andy williams",3
"122","6lack",1,"desiigner",3,"big sean",3
"123","axwell /\ ingrosso",1,"donald glover",3,"brenda lee",3
"124","carnage",1,"dustin lynch",3,"burl ives",3
"125","cashmere cat",1,"lukas graham",3,"hugh jackman",3
"126","chuck berry",1,"lynyrd skynyrd",3,"katy perry",3
"127","david guetta",1,"mark ronson",3,"keala settle",3
"128","dustin lynch",1,"nav",3,"loren allred",3
"129","eartha kitt",1,"psy",3,"nat king cole",3
"130","jason derulo",1,"rich the kid",3,"ozuna x cardi b",3
"131","john lennon",1,"rihanna",3,"playboi carti",3
"132","judy garland",1,"russ",3,"sofi tukker",3
"133","michael jackson",1,"sam hunt",3,"walk the moon",3
"134","paul mccartney",1,"shakira",3,"zac efron",3
"135","zedd",1,"skillet",3,"chloe kohanski",2
